name,desc
ITSF MULTITABLE PRO TOUR 2015/16_DYP,02_Losované dvojice
SLOVENSKÝ POHÁR 2015 / 2016 DYP,01_Monster Losované dvojice
SLOVENSKÝ POHÁR 2015 / 2016 OD,01_Open doubles
SLOVENSKÝ POHÁR 2015/16 AM,01_Amatérske dvojice
SLOVENSKÝ POHÁR 2015 / 2016 FD,01_2 Ball rollerball
SLOVENSKÝ POHÁR 2015 / 2016 FS,01_Penalty
SLOVENSKÝ POHÁR 2015 / 2016 OS,01_Open singles
ITSF MULTITABLE PRO TOUR 2015/16_OD,01_Open doubles
ITSF MULTITABLE PRO TOUR 2015/16_DYP,01_Monster DYP
ITSF MULTITABLE PRO TOUR 2015/16_OS,01_Open singles
ITSF MULTITABLE PRO TOUR 2015/16_AM,01_Amateur doubles
MSR 2015_JS (nebodované),Juniori jednotlivci (Junior singles)
MSR 2015_2BALL,2Ball rollerballl
MSR 2015_AM,Amatérske dvojice (Amateur doubles)
MSR 2015_MIX,Miešané dvojice (Mixed doubles)
MSR 2015_DYP,Losované dvojice (Monster DYP)
MSR 2015_GW,Vojna brankárov (Goalie war)
MSR 2015_OD,Dvojice (Open doubles)
MSR 2015_OD-B,Dvojice B (Doubles B)
MSR 2015_WS,Jednotlivci ženy (Women singles)
MSR 2015_FSO,Penalty (Forward shoot-out)
MSR 2015_OS,Jednotlivci (Open singles)
MSR 2015_SDYP,Losované dvojice (Sunday DYP)
MSR 2015_WD (nebodované),Ženské dvojice (Women doubles)
SLOVENSKÝ POHÁR 2014 / 2015 OD,03_Open doubles
SLOVENSKÝ POHÁR 2014 /15 WS (nebodované),03_Women singles
SLOVENSKÝ POHÁR 2014 /15 WD (nebodované),03_Women doubles
SLOVENSKÝ POHÁR 2014 / 2015 FD,03_Miešané dvojice
SLOVENSKÝ POHÁR 2014 / 2015 FD,03_Amatérske dvojice
SLOVENSKÝ POHÁR 2014 / 2015 FD,03_Losovaný 2Ball rollerball
SLOVENSKÝ POHÁR 2014 / 2015 OS,03_Open singles
SLOVENSKÝ POHÁR 2014 / 2015 DYP,03_Losované dvojice
ITSF MULTITABLE PRO TOUR 2014/15_OD,03_Open doubles
ITSF MULTITABLE PRO TOUR 2014/15_AM,03_Amateur doubles
ITSF MULTITABLE PRO TOUR 2014/15_OS,03_Open singles
ITSF MULTITABLE PRO TOUR 2014/15_DYP,03_Monster DYP
MASTERS SINGLES 2016/17,Hector
SLOVAK MASTERS 2016/17 AS,Hector
MASTERS SINGLES 2016/17,Hector
SLOVENSKÝ POHÁR 2014 / 2015 OD,02_Open doubles
SLOVENSKÝ POHÁR 2014 /15 WS (nebodované),02_Women singles
SLOVENSKÝ POHÁR 2014 / 2015 JD,02_Junior doubles
SLOVENSKÝ POHÁR 2014 / 2015 JS,02_Junior singles
SLOVENSKÝ POHÁR 2014 / 2015 FD,02_Amatérske dvojice
SLOVENSKÝ POHÁR 2014 / 2015 FS,02_Penalty
SLOVENSKÝ POHÁR 2014 / 2015 OS,02_Open singles
SLOVENSKÝ POHÁR 2014 / 2015 DYP,02_Losované dvojice
ITSF MULTITABLE PRO TOUR 2014/15_OD,02_Open doubles
ITSF MULTITABLE PRO TOUR 2014/15_OS,02_Open singles
ITSF MULTITABLE PRO TOUR 2014/15_DYP,02_Monster DYP
SLOVENSKÝ POHÁR 2014 / 2015 OD,01_Open doubles
SLOVENSKÝ POHÁR 2014 / 2015 WS,01_Women singles
SLOVENSKÝ POHÁR 2014 /15 WD (nebodované),01_Women doubles
SLOVENSKÝ POHÁR 2014 / 2015 FD,01_Amatérske dvojice
SLOVENSKÝ POHÁR 2014 / 2015 FS,01_Vojna brankárov
SLOVENSKÝ POHÁR 2014 / 2015 OS,01_Open singles
SLOVENSKÝ POHÁR 2014 / 2015 FD,01_2Ball rollerball
SLOVENSKÝ POHÁR 2014 / 2015 DYP,01_Losované dvojice
ITSF MULTITABLE PRO TOUR 2014/15_OD,01_Open doubles
ITSF MULTITABLE PRO TOUR 2014/15_OS,01_Open singles
MSR 2014_OS,Open singles
MSR 2014_WD,Women doubles
MSR 2014_SDYP,Sunday DYP
MSR 2014_OD,Open doubles
MSR 2014_JS,Junior singles
MSR 2014_WS,Women singles
MSR 2014_OD-B,Doubles B
MSR 2014_FSO,Penalty (Forward shoot-out)
MSR 2014_MIX,Miešané dvojice
MSR 2014_DYP,Losované dvojice
MSR 2014_GW,Vojna brankárov
MSR 2014_2BALL,2Ball rollerball
MSR 2014_AM,Amatérske dvojice
SLOVENSKÝ POHÁR 2013 / 2014 OD,04 Open doubles
SLOVENSKÝ POHÁR 2013 / 2014 WD,04 Women doubles
SLOVENSKÝ POHÁR 2013 / 2014 WS,04 Women singles
SLOVENSKÝ POHÁR 2013 / 2014 JD,04 Junior doubles
SLOVENSKÝ POHÁR 2013 / 2014 JS,04 Junior singles
SLOVENSKÝ POHÁR 2013 / 2014 FD,04 Miešané dvojice
SLOVENSKÝ POHÁR 2013 / 2014 FD,04 Amatérske dvojice
SLOVENSKÝ POHÁR 2013 / 2014 OS,04 Open singles
SLOVENSKÝ POHÁR 2013 / 2014 DYP,04 Losovaný 2Ball (2Ball DYP)
SLOVENSKÝ POHÁR 2013 / 2014 DYP,04 Losované dvojice (DYP)
P4P_WD CE CHAMPIONSHIPS 2014,Women doubles
P4P_OS CE CHAMPIONSHIPS 2014,Jednotlivci (Open singles)
P4P_SDYP CE CHAMPIONSHIPS 2014,Nedeľný los (SUNDAYS DYP)
P4P_JD CE CHAMPIONSHIPS 2014,Junior doubles
P4P_GW CE CHAMPIONSHIPS 2014,Vojna brankárov (Goalie war)
P4P_OD CE CHAMPIONSHIPS 2014,Dvojice (Open doubles)
P4P_ODB CE CHAMPIONSHIPS 2014,Dvojice B (Open doubles B)
P4P_WS CE CHAMPIONSHIPS 2014,Women SINGLES
P4P_FSO CE CHAMPIONSHIPS 2014,Penalty (Forward shoot-out)
P4P_JS CE CHAMPIONSHIPS 2014,Junior SINGLES
P4P_DYP CE CHAMPIONSHIPS 2014,Losované dvojice (DYP)
P4P_MD CE CHAMPIONSHIPS 2014,Miešané dvojice (Mixed doubles)
SLOVENSKÝ POHÁR 2013 / 2014 OD,03 Open doubles
SLOVENSKÝ POHÁR 2013 / 2014 DYP,03 Losované dvojice (DYP)
SLOVENSKÝ POHÁR 2013 / 2014 WS,03 Women singles
SLOVENSKÝ POHÁR 2013 / 2014 WD,03 Women doubles
SLOVENSKÝ POHÁR 2013 / 2014 DYP,03 Losovaný 2Ball (2Ball DYP)
SLOVENSKÝ POHÁR 2013 / 2014 FD,03 Amatérske dvojice
SLOVENSKÝ POHÁR 2013 / 2014 FS,03 Penalty (Forward shoot-out)
SLOVENSKÝ POHÁR 2013 / 2014 OS,03 Open singles
SLOVENSKÝ POHÁR 2013 / 2014 OS,02 Open singles
SLOVENSKÝ POHÁR 2013 / 2014 FD,02 Losovaný 2Ball (2Ball DYP)
SLOVENSKÝ POHÁR 2013 / 2014 WS,02 Women singles
SLOVENSKÝ POHÁR 2013 / 2014 WD,02 Women doubles
SLOVENSKÝ POHÁR 2013 / 2014 OD,02 Open doubles
SLOVENSKÝ POHÁR 2013 / 2014 JS,02 Junior singles
SLOVENSKÝ POHÁR 2013 / 2014 JD,02 Junior doubles
SLOVENSKÝ POHÁR 2013 / 2014 DYP,02 Losované dvojice (DYP)
SLOVENSKÝ POHÁR 2013 / 2014 FD,02 Amatérske dvojice
SLOVENSKÝ POHÁR 2013 / 2014 FD,02 2Ball rollerball
SLOVENSKÝ POHÁR 2013 / 2014 OS,01 Open singles
SLOVENSKÝ POHÁR 2013 / 2014 FS,01 Vojna brankárov (Goalie war)
SLOVENSKÝ POHÁR 2013 / 2014 FD,01 Losovaný 2Ball (2Ball DYP)
SLOVENSKÝ POHÁR 2013 / 2014 OD,01 Open doubles
SLOVENSKÝ POHÁR 2013 / 2014 WS,01 Women singles
SLOVENSKÝ POHÁR 2013 / 2014 WD,01 Women doubles
SLOVENSKÝ POHÁR 2013 / 2014 JD,01 Junior doubles
SLOVENSKÝ POHÁR 2013 / 2014 JS,01 Junior singles
SLOVENSKÝ POHÁR 2013 / 2014 FD,01 Amatérske dvojice
SLOVENSKÝ POHÁR 2013 / 2014 DYP,01 Losované dvojice (DYP)
MSR 2013_AM,Amatérske dvojice (Amateur doubles)
MSR 2013_DYP,Losované dvojice (DYP)
MSR 2013_GW,Vojna brankárov (Goalie war)
MSR 2013_MIX,Miešané dvojice (Mixed doubles)
MSR 2013_2BALL,2 Ball rollerball
MSR 2013_OD,Dvojice (Open doubles)
MSR 2013_JS,Jednotlivci juniori (Junior singles)
MSR 2013_WS,Jednotlivci ženy (Women singles)
MSR 2013_LOOSER,Looser cup
MSR 2013_FSO,Penalty (Forward shoot-out)
MSR 2013_OS,Jednotlivci (Open singles)
MSR 2013_WD,Dvojice ženy (Women doubles)
MSR 2013_JD,Dvojice juniori (Junior doubles)
MAJSTROVSTVÁ ROSENGART LIGY 2013_AM,Amatérske tímy
MAJSTROVSTVÁ ROSENGART LIGY 2013_AM,Pro tímy
Turnaj sa vracia,Dvojice
SLOVENSKÝ POHÁR 2012 / 2013 OS,03 Jednotlivci (Open singels)
SLOVENSKÝ POHÁR 2012 / 2013 FD,03 Losovaný 2Ball (2Bal DYP)
SLOVENSKÝ POHÁR 2012 / 2013 DYP,03 Losované dvojice (DYP)
SLOVENSKÝ POHÁR 2012 / 2013 WD,03 Dvojice ženy (Women doubles)
SLOVENSKÝ POHÁR 2012 / 2013 OD,03 Dvojice (Open doubles)
SLOVENSKÝ POHÁR 2012 / 2013 WS,03 Jednotlivci ženy (Women singles)
SLOVENSKÝ POHÁR 2012 / 2013 JS,03 Jednotlivci juniori (Junior singles)
SLOVENSKÝ POHÁR 2012 / 2013 JD,03 Dvojice juniori (Junior doubles)
SLOVENSKÝ POHÁR 2012 / 2013 FS,03 Vojna brankárov (Goalie war)
SLOVENSKÝ POHÁR 2012 / 2013 FD,03 Amatérske dvojice (Amateur doubles)
SLOVENSKÝ POHÁR 2012 / 2013 OS,02 Jednotlivci (Open singels)
SLOVENSKÝ POHÁR 2012 / 2013 FD,02 Miešané dvojice (Mixed doubles)
SLOVENSKÝ POHÁR 2012 / 2013 FD,02 Losovaný 2Ball (2Bal DYP)
SLOVENSKÝ POHÁR 2012 / 2013 OD,02 Dvojice (Open doubles)
SLOVENSKÝ POHÁR 2012 / 2013 WD,02 Dvojice ženy (Women doubles)
SLOVENSKÝ POHÁR 2012 / 2013 WS,02 Jednotlivci ženy (Women singles)
SLOVENSKÝ POHÁR 2012 / 2013 JS,02 Jednotlivci juniori (Junior singles)
SLOVENSKÝ POHÁR 2012 / 2013 JD,02 Dvojice juniori (Junior doubles)
SLOVENSKÝ POHÁR 2012 / 2013 FD,02 Amatérske dvojice (Amateur doubles)
SLOVENSKÝ POHÁR 2012 / 2013 DYP,02 Losované dvojice (DYP)
SLOVENSKÝ POHÁR 2012 / 2013 DYP,01 Losované dvojice (DYP)
SLOVENSKÝ POHÁR 2012 / 2013 OD,01 Dvojice (Open doubles)
SLOVENSKÝ POHÁR 2012 / 2013 WS,01 Jednotlivci ženy (Women singles)
SLOVENSKÝ POHÁR 2012 / 2013 WD,01 Dvojice ženy (Women doubles)
